,loss,theta0,theta1
0,0.3249676525592804,0.6069782376289368,0.7323693633079529
1,0.3176448941230774,0.6104670763015747,0.7280677556991577
2,0.31576216220855713,0.6123743653297424,0.7255970239639282
3,0.3114384710788727,0.6150359511375427,0.7234916090965271
4,0.3081394135951996,0.6168567538261414,0.7216613292694092
5,0.3072061836719513,0.617847204208374,0.7201222777366638
6,0.3063071370124817,0.6188533902168274,0.7187070250511169
7,0.30493050813674927,0.6201279759407043,0.7173523306846619
8,0.30194002389907837,0.6219725012779236,0.7159932851791382
9,0.29786217212677,0.6238573789596558,0.7146162986755371
10,0.29668915271759033,0.62480229139328,0.7133974432945251
11,0.29604578018188477,0.6255266070365906,0.7122628092765808
12,0.2954005300998688,0.6262744069099426,0.711166262626648
13,0.29454851150512695,0.627160906791687,0.7100867033004761
14,0.2931322157382965,0.6283274292945862,0.7090029120445251
15,0.2901219427585602,0.6300008893013,0.7078700661659241
16,0.28660687804222107,0.6316142678260803,0.7067057490348816
17,0.2855725884437561,0.6324489712715149,0.705660343170166
18,0.28504273295402527,0.6330648064613342,0.704677402973175
19,0.28457316756248474,0.633660614490509,0.7037205696105957
20,0.284040629863739,0.6343156099319458,0.7027750611305237
21,0.28332969546318054,0.635096549987793,0.7018309235572815
22,0.2822059690952301,0.6361019015312195,0.7008753418922424
23,0.2800179123878479,0.6375066041946411,0.6998793482780457
24,0.27663102746009827,0.6391366124153137,0.6988246440887451
25,0.2753317952156067,0.6400591731071472,0.697860062122345
26,0.27483683824539185,0.6406480073928833,0.6969724297523499
27,0.27446192502975464,0.6411747932434082,0.696114718914032
