,theta,k1,k2,j1,j2,loss
0,0.1,1e-07,1e-07,49977.62600186996,0.005,0.4998262600186997
1,0.1,1e-07,0.00011119999999999999,49539.81870404571,0.9324134953018168,0.5047223219934753
2,0.1,1e-07,0.00022229999999999998,49509.347242193464,1.2505187244088196,0.5075986596660229
3,0.1,1e-07,0.00033339999999999997,49495.88385822262,1.469629077584764,0.5096551293580739
4,0.1,1e-07,0.00044449999999999996,49487.98188303023,1.6420948810964513,0.5113007676412669
5,0.1,1e-07,0.0005556,49482.67875266594,1.7865997915817975,0.5126927854424774
6,0.1,1e-07,0.0006666999999999999,49478.82609721775,1.912183715368761,0.5139100981258652
7,0.1,1e-07,0.0007777999999999998,49475.875851268174,2.0239785511677124,0.514998544024359
8,0.1,1e-07,0.0008888999999999999,49473.530041890735,2.1252060540643516,0.5159873609595509
9,0.1,1e-07,0.001,49471.61141487479,2.218034857511194,0.5168964627238598
10,0.1,0.00011119999999999999,1e-07,49784.310166985124,0.0085350386801315,0.4979284520566526
11,0.1,0.00011119999999999999,0.00011119999999999999,27120.613136203814,5.560000000000001,0.3268061313620382
12,0.1,0.00011119999999999999,0.00022229999999999998,17967.488929926043,10.73033367140109,0.28697822601327133
13,0.1,0.00011119999999999999,0.00033339999999999997,13171.995931881427,15.601329037499008,0.28773324969380437
14,0.1,0.00011119999999999999,0.00044449999999999996,10305.54792501134,20.16644308589289,0.3047199101090423
15,0.1,0.00011119999999999999,0.0005556,8414.381729214967,24.43952761323189,0.3285390934244686
16,0.1,0.00011119999999999999,0.0006666999999999999,7093.913057391364,28.43906591530206,0.35532978972693424
17,0.1,0.00011119999999999999,0.0007777999999999998,6132.091085555975,32.186423927213056,0.38318515012769033
18,0.1,0.00011119999999999999,0.0008888999999999999,5407.289779203474,35.70379831626949,0.41111088095472964
19,0.1,0.00011119999999999999,0.001,4845.521425799454,39.012778247389626,0.43858299673189083
20,0.1,0.00022229999999999998,1e-07,49746.65134005582,0.009566947006182524,0.49756218287062004
21,0.1,0.00022229999999999998,0.00011119999999999999,22268.070449002877,5.714042715022767,0.27982113164025646
