,num_iters,km1_perturb,kc1_perturb,km2_perturb,kc2_perturb,loss,k1,k2,theta1,theta2
0,500,0.5,0.5,0.5,0.5,0.08707058162387021,0.0004976486336044479,3.326415055595642e-05,8.21466225595325,5.320065599181197
1,500,0.5,0.5,0.75,0.5,0.0879221491132468,0.0007959011853537184,3.246171059775445e-05,9.000299652693592,7.982145697301691
2,500,0.5,0.5,0.9,0.5,0.087837070878834,0.0007682649653252154,3.75553058970438e-05,7.121548457390859,1.0971412057227077
3,500,0.5,0.5,0.95,0.5,0.08741012617838949,0.0008911488780387305,3.547939188360366e-05,8.823680117156101,4.101231288128959
4,500,0.5,0.5,1.0,0.5,0.08829542089158353,0.0008065824500304952,3.953408685404238e-05,6.580476464866208,7.674225274777029
5,500,0.5,0.5,1.05,0.5,0.0891678886940443,0.0006241393380487596,3.916240063673491e-05,7.040087969857595,6.74086341258172
6,500,0.5,0.5,1.1,0.5,0.08809933499891051,0.000789933052440889,3.856245897349622e-05,8.43681881134503,9.540883830829777
7,500,0.5,0.5,1.25,0.5,0.08817294378711174,0.0008270627741570325,3.889139818527888e-05,8.923171638588443,9.596210134104501
8,500,0.5,0.5,1.5,0.5,0.08917930008842498,0.0007236272159398788,4.0075471806112115e-05,8.883551959142673,4.77931050933201
9,500,0.5,0.5,0.5,0.75,0.08126995607894019,0.000945843698096194,2.2834494440684117e-05,5.398162967261162,9.59454707340289
10,500,0.5,0.5,0.75,0.75,0.08183136970588456,0.0006083213028651106,2.664833332807172e-05,6.062645208128519,6.76168044155235
11,500,0.5,0.5,0.9,0.75,0.08178932341305589,0.0005075598768849688,2.6344656918766472e-05,8.129439234365497,0.055674751487777785
12,500,0.5,0.5,0.95,0.75,0.08241423433518712,0.00042512421283923135,2.7624352865828288e-05,7.188040289903974,0.027790099538210322
13,500,0.5,0.5,1.0,0.75,0.08273816924054864,0.0008269458920032208,3.0373462933943477e-05,4.877322689497883,8.693959040072778
14,500,0.5,0.5,1.05,0.75,0.08214836562841073,0.0009901542347840776,2.9043404765722533e-05,4.950737106579685,3.681529907022777
15,500,0.5,0.5,1.1,0.75,0.0823060197726447,0.0004393109056331514,2.6076502909051143e-05,9.488377763331387,8.826458033423531
16,500,0.5,0.5,1.25,0.75,0.0822128763115678,0.0008744119935318562,2.9078432618064184e-05,5.941738203799107,0.48165985938428113
17,500,0.5,0.5,1.5,0.75,0.08213556524808616,0.0006161487863264562,2.7886255647830383e-05,9.640581825226137,9.294042672122451
18,500,0.5,0.5,0.5,0.9,0.07948375118896567,0.00035632552494348565,2.2025642476734056e-05,5.413982344738248,7.0594537152673835
