,Unnamed: 0,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2,circuit,perturbed
0,0,500,0.5,0.5,0.0759670256759172,0.000238316787902,7.987864060988173e-05,5.628425795691836,9.95580664971886,Dual Control,True
1,1,500,0.75,0.5,0.0779882377363203,0.0005731779374016,6.817072456479795e-05,3.972324253050607,9.569165361144286,Dual Control,True
2,2,500,0.9,0.5,0.078353482251885,0.0008536105163431,6.136657301457596e-05,4.043432294796604,9.978494832294194,Dual Control,True
3,3,500,0.95,0.5,0.0796100801464244,0.0003956020618636,5.118867972416773e-05,7.5030427007815295,9.023573166322812,Dual Control,True
4,4,500,1.05,0.5,0.0813708564668739,0.0007057598583922,3.783393179456812e-05,7.4765595977891985,1.741677625498001,Dual Control,True
5,5,500,1.1,0.5,0.0795698630604401,0.000914833635386,4.061548307872313e-05,7.699176102390492,9.206889157203902,Dual Control,True
6,6,500,1.25,0.5,0.0811858895197421,0.0002909599346566,5.190454751913929e-05,9.9579398387443,9.20639583079826,Dual Control,True
7,7,500,1.5,0.5,0.0806024355725481,0.0009319939131469,4.427134464192278e-05,7.926377397169305,9.452059089367358,Dual Control,True
8,8,500,0.5,0.75,0.0650777281910954,0.0009100002517702,6.36856575118829e-05,2.083583135019341,9.534822382126212,Dual Control,True
9,9,500,0.75,0.75,0.0676605715406479,0.0006055737448645,5.965538395332609e-05,3.1162915886706584,9.65492633532195,Dual Control,True
10,10,500,0.9,0.75,0.0684864105421066,0.0008172367770061,5.888581784934772e-05,2.737714458921211,9.952449115689006,Dual Control,True
11,11,500,0.95,0.75,0.0697187941225087,0.0003683083882604,5.421255583648322e-05,4.687517777451596,9.24437193907633,Dual Control,True
12,12,500,1.05,0.75,0.0701195754473198,0.0007832704397559,6.7120868819221e-05,2.587071661354332,9.852652643215832,Dual Control,True
13,13,500,1.1,0.75,0.0701463335150199,0.0009259600332221,4.44408725209714e-05,3.505183887159285,8.847879873510577,Dual Control,True
14,14,500,1.25,0.75,0.0706373063510938,0.0009999050987642,3.927001689891892e-05,4.23791802662079,9.176931426295049,Dual Control,True
15,15,500,1.5,0.75,0.0716454960289652,0.0007109004587837,5.207037775199598e-05,4.187780469726675,9.981709692575144,Dual Control,True
16,16,500,0.5,0.9,0.0628442512799637,0.0002362978395836,6.032175026788993e-05,4.027814080816756,9.302228906854612,Dual Control,True
17,17,500,0.75,0.9,0.064028202009757,0.0008527251231823,5.041620327188729e-05,2.4612988035643086,9.53780731701909,Dual Control,True
18,18,500,0.9,0.9,0.0667251858708578,0.0002072496691237,4.897067401252971e-05,7.371467569766129,9.76713830103293,Dual Control,True
19,19,500,0.95,0.9,0.0658884111958864,0.0003988890531281,6.112633451180602e-05,3.672049543110569,9.68052155197675,Dual Control,True
20,20,500,1.05,0.9,0.0659035981980866,0.0008229669296039,5.504097036552177e-05,2.6373499607653352,9.816088147339222,Dual Control,True
