,Unnamed: 0,perturbs,best_losses,best_params,k1,k2,theta1,theta2,num_iters,circuit,perturbation
0,0,0.5,0.0741367282045545,"{'k1': 4.848659686126702e-05, 'k2': 3.8244557840920926e-05, 'theta1': 4.343828326860258, 'theta2': 1.6199454068308845}",4.848659686126702e-05,3.8244557840920926e-05,4.343828326860258,1.6199454068308845,500,Dual Control,True
1,1,0.75,0.0670473401319928,"{'k1': 3.9904298605172885e-05, 'k2': 3.0841744517252345e-05, 'theta1': 3.741673408800642, 'theta2': 0.9892449304125273}",3.9904298605172885e-05,3.0841744517252345e-05,3.741673408800642,0.9892449304125273,500,Dual Control,True
2,2,0.9,0.0653050531553007,"{'k1': 4.0468952036304764e-05, 'k2': 3.3173440098017256e-05, 'theta1': 3.464565162366335, 'theta2': 5.275380398940994}",4.0468952036304764e-05,3.3173440098017256e-05,3.464565162366335,5.275380398940994,500,Dual Control,True
3,3,0.95,0.0670506071354278,"{'k1': 6.233002722730683e-05, 'k2': 3.368340361269955e-05, 'theta1': 3.79631673777921, 'theta2': 5.150385479936196}",6.233002722730683e-05,3.368340361269955e-05,3.79631673777921,5.150385479936196,500,Dual Control,True
4,4,1.0,0.0629417395915785,"{'k1': 4.1823461693161854e-05, 'k2': 2.247277821099165e-05, 'theta1': 3.336208194530701, 'theta2': 3.521537269104235}",4.1823461693161854e-05,2.247277821099165e-05,3.336208194530701,3.521537269104235,500,Dual Control,True
5,5,1.05,0.0633624011507773,"{'k1': 3.671697892949886e-05, 'k2': 2.5033336165352352e-05, 'theta1': 6.390194581875924, 'theta2': 8.528448596068142}",3.671697892949886e-05,2.5033336165352352e-05,6.390194581875924,8.528448596068142,500,Dual Control,True
6,6,1.1,0.0614058118718893,"{'k1': 4.852943544098097e-05, 'k2': 2.427615920205859e-05, 'theta1': 8.090520374630191, 'theta2': 5.1126314062845735}",4.852943544098097e-05,2.427615920205859e-05,8.090520374630191,5.1126314062845735,500,Dual Control,True
7,7,1.25,0.0601677614086092,"{'k1': 5.012101849667113e-05, 'k2': 2.3902869714161423e-05, 'theta1': 7.38496431924144, 'theta2': 3.899254957313696}",5.012101849667113e-05,2.3902869714161423e-05,7.38496431924144,3.899254957313696,500,Dual Control,True
8,8,1.5,0.0625204701975774,"{'k1': 4.070597214083005e-05, 'k2': 3.330505654676996e-05, 'theta1': 6.806959012032865, 'theta2': 1.2337312856302713}",4.070597214083005e-05,3.330505654676996e-05,6.806959012032865,1.2337312856302713,500,Dual Control,True
