,Unnamed: 0,perturbs,best_losses,best_params,k1,k2,theta1,theta2,num_iters,circuit,perturbation
0,0,0.5,0.0750898126077274,"{'k1': 0.0006380217266237783, 'k2': 7.925999011697019e-05, 'theta1': 3.068243841274876, 'theta2': 9.998138873825246}",0.0006380217266237783,7.925999011697019e-05,3.068243841274876,9.998138873825246,500,Dual Control,True
1,1,0.75,0.0674003676630666,"{'k1': 0.0007881574869730782, 'k2': 7.162055121529904e-05, 'theta1': 2.4927348440762165, 'theta2': 9.968045612025847}",0.0007881574869730782,7.162055121529904e-05,2.4927348440762165,9.968045612025847,500,Dual Control,True
2,2,0.9,0.0651806468813915,"{'k1': 0.00093321572182558, 'k2': 3.825425663079181e-05, 'theta1': 3.230080614951102, 'theta2': 9.990497052925992}",0.00093321572182558,3.825425663079181e-05,3.230080614951102,9.990497052925992,500,Dual Control,True
3,3,0.95,0.0644386688250774,"{'k1': 0.000993569646349621, 'k2': 5.8846385690072686e-05, 'theta1': 2.0548061912574758, 'theta2': 9.663636950912306}",0.000993569646349621,5.8846385690072686e-05,2.0548061912574758,9.663636950912306,500,Dual Control,True
4,4,1.0,0.0648511849493017,"{'k1': 0.00021566389051794145, 'k2': 6.907648199241605e-05, 'theta1': 5.1272347081318745, 'theta2': 9.985937981632016}",0.00021566389051794145,6.907648199241605e-05,5.1272347081318745,9.985937981632016,500,Dual Control,True
5,5,1.05,0.0631849493362271,"{'k1': 0.0008258581374967103, 'k2': 6.0841204539576834e-05, 'theta1': 2.266221235996347, 'theta2': 9.982427127628222}",0.0008258581374967103,6.0841204539576834e-05,2.266221235996347,9.982427127628222,500,Dual Control,True
6,6,1.1,0.0648728540042903,"{'k1': 7.067860415593741e-05, 'k2': 8.472340482954338e-05, 'theta1': 9.656692780279664, 'theta2': 8.304208051047825}",7.067860415593741e-05,8.472340482954338e-05,9.656692780279664,8.304208051047825,500,Dual Control,True
7,7,1.25,0.0622057613501244,"{'k1': 0.0005902322445211598, 'k2': 6.44072027028416e-05, 'theta1': 2.4950185933156597, 'theta2': 9.79979845235707}",0.0005902322445211598,6.44072027028416e-05,2.4950185933156597,9.79979845235707,500,Dual Control,True
8,8,1.5,0.0614117978674812,"{'k1': 0.00014891284088864215, 'k2': 3.3876125736512204e-05, 'theta1': 8.987472800640266, 'theta2': 9.873135913448946}",0.00014891284088864215,3.3876125736512204e-05,8.987472800640266,9.873135913448946,500,Dual Control,True
