,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2
0,500,0.5,0.5,0.07413428025493388,4.588928353477626e-05,3.718859099635611e-05,6.650688693042181,1.4195954544454623
1,500,0.75,0.5,0.07480519097957296,4.339272884176372e-05,4.052301880931045e-05,2.1624335437176083,0.3378208130711734
2,500,0.9,0.5,0.07529459501769609,4.676292610559145e-05,3.599391614925808e-05,7.584115966377763,4.112169818182941
3,500,0.95,0.5,0.07679048329020705,5.789744619383666e-05,4.596486564604233e-05,8.443923626319165,9.99787521793084
4,500,1.05,0.5,0.07519967534115495,4.836876770679368e-05,4.1646386229157015e-05,4.234979396891705,3.5345734042140955
5,500,1.1,0.5,0.07547909877727876,4.3854296667219433e-05,3.820746519183549e-05,0.4253685234758424,0.7160009058141181
6,500,1.25,0.5,0.07683146780898317,5.1293007754532346e-05,4.822697398648662e-05,5.543882350930143,4.1334579793211415
7,500,1.5,0.5,0.0774684413914128,5.721618979798236e-05,4.6531753195646164e-05,0.05029669975627282,6.866965041171784
8,500,0.5,0.75,0.06693911612835193,3.923750815885627e-05,3.2107557934401726e-05,3.6007540550232657,1.1052729581670513
9,500,0.75,0.75,0.06686578564555602,4.1582257097947155e-05,3.212971445302717e-05,0.0065486152366960315,4.191415567145091
10,500,0.9,0.75,0.06783775801872341,5.4693163544100435e-05,2.8723537882030497e-05,3.473664241283667,6.09558855620626
11,500,0.95,0.75,0.06860677252403885,5.5922013682243514e-05,3.642645357730361e-05,5.41941264792112,8.016952950303224
12,500,1.05,0.75,0.06914750904810385,6.0436417572462504e-05,3.186333574896286e-05,3.4456760624799436,5.047583393907369
13,500,1.1,0.75,0.06753064126076339,4.16372228366148e-05,3.3690825117882545e-05,8.897852955455972,4.3951451523378955
14,500,1.25,0.75,0.0673733369868495,4.182580248469274e-05,2.9801732047884664e-05,6.047184132058221,8.06817853148068
15,500,1.5,0.75,0.06783286541468286,4.5891196504642864e-05,3.5095551741375625e-05,5.125543670958543,1.829014840774824
16,500,0.5,0.9,0.06427878552051425,3.86696036205512e-05,2.4469904961660715e-05,4.234172676940638,1.5332579019305441
17,500,0.75,0.9,0.06521662469194106,5.060895527749513e-05,2.202250772633072e-05,1.3614002852593194,9.959163700744893
18,500,0.9,0.9,0.06470760259529346,5.349391491256388e-05,2.5856258183331063e-05,2.323246783361546,5.764123822572976
19,500,0.95,0.9,0.0639367395800393,4.396453616255438e-05,2.6634469533882426e-05,1.9655718673913678,0.00825660644202686
20,500,1.05,0.9,0.06441310613882267,4.966229950409203e-05,2.4927098100365288e-05,5.3015755934497335,6.035956947582485
21,500,1.1,0.9,0.0649548090774052,5.13387244567626e-05,3.197075912950846e-05,4.012460683898205,3.2374818252361797
22,500,1.25,0.9,0.06518787144992458,4.333568015260914e-05,3.3179233853509964e-05,7.943068277225899,8.225575043564325
23,500,1.5,0.9,0.06925239028678694,6.041657438579684e-05,2.057743595688836e-05,4.396646240656039,1.1373128648205724
24,500,0.5,0.95,0.06312559561713527,4.136293288046955e-05,2.3340014996832643e-05,2.7327700076838584,1.4188958577281845
25,500,0.75,0.95,0.06363839306229839,5.187667708345163e-05,2.880424958868802e-05,2.109824337868118,3.034800715573826
26,500,0.9,0.95,0.06366665264002723,4.127087102922381e-05,2.2998192468610987e-05,6.13014728753698,0.002945649994046229
27,500,0.95,0.95,0.06431573828316697,3.7489339071633624e-05,2.4455092944373188e-05,5.401428878570541,0.9838587648386579
28,500,1.05,0.95,0.06336879505293119,4.26567084559837e-05,2.6755133667451603e-05,8.903497611535139,8.554980688524957
29,500,1.1,0.95,0.06421798182896249,3.828013090920376e-05,2.5063187677034612e-05,3.1508804247975135,2.926714392010618
30,500,1.25,0.95,0.06415363053601844,4.5899261502426743e-05,3.1824278508376726e-05,8.048523788715922,0.7225045981323297
31,500,1.5,0.95,0.0646944052026448,4.434653112134162e-05,3.289592359073448e-05,4.052562063645314,9.947279817526734
