,Unnamed: 0,perturbs,best_losses,best_params,k1,k2,theta1,theta2,num_iters,circuit,perturbation
0,0,0.5,0.0724739667625144,"{'k1': 4.4686015760762906e-05, 'k2': 4.8444648414792026e-05, 'theta1': 7.989992639083873, 'theta2': 6.879599140596651}",4.4686015760762906e-05,4.8444648414792026e-05,7.989992639083873,6.879599140596651,500,Dual Control,True
1,1,0.75,0.0654771019839151,"{'k1': 5.131804691358975e-05, 'k2': 3.825064455225636e-05, 'theta1': 5.207618953541105, 'theta2': 8.347609124903382}",5.131804691358975e-05,3.825064455225636e-05,5.207618953541105,8.347609124903382,500,Dual Control,True
2,2,0.9,0.0630223126211247,"{'k1': 4.34214993342293e-05, 'k2': 4.4516734731714616e-05, 'theta1': 2.8615295067655366, 'theta2': 7.287878985788518}",4.34214993342293e-05,4.4516734731714616e-05,2.8615295067655366,7.287878985788518,500,Dual Control,True
3,3,0.95,0.0621259914289073,"{'k1': 4.463760525707344e-05, 'k2': 5.9595478001707756e-05, 'theta1': 2.9793857917090953, 'theta2': 8.599162715108061}",4.463760525707344e-05,5.9595478001707756e-05,2.9793857917090953,8.599162715108061,500,Dual Control,True
4,4,1.0,0.0609757791253728,"{'k1': 4.74313822212379e-05, 'k2': 4.243459303825911e-05, 'theta1': 6.4194368829468464, 'theta2': 9.788012729774032}",4.74313822212379e-05,4.243459303825911e-05,6.4194368829468464,9.788012729774032,500,Dual Control,True
5,5,1.05,0.0609406939294361,"{'k1': 4.113438784119259e-05, 'k2': 5.49654019877131e-05, 'theta1': 1.9349661663267508, 'theta2': 9.498751769941936}",4.113438784119259e-05,5.49654019877131e-05,1.9349661663267508,9.498751769941936,500,Dual Control,True
6,6,1.1,0.060491132761258,"{'k1': 4.3766943746023164e-05, 'k2': 3.0213228900048943e-05, 'theta1': 9.567701679809396, 'theta2': 7.263153237758177}",4.3766943746023164e-05,3.0213228900048943e-05,9.567701679809396,7.263153237758177,500,Dual Control,True
7,7,1.25,0.059633192692868,"{'k1': 5.467446171748525e-05, 'k2': 2.838389449337768e-05, 'theta1': 0.20939534779716248, 'theta2': 9.20949735758348}",5.467446171748525e-05,2.838389449337768e-05,0.20939534779716248,9.20949735758348,500,Dual Control,True
8,8,1.5,0.0577469747118508,"{'k1': 4.3981248352784496e-05, 'k2': 3.622594681945986e-05, 'theta1': 7.245328163919448, 'theta2': 8.364421061734225}",4.3981248352784496e-05,3.622594681945986e-05,7.245328163919448,8.364421061734225,500,Dual Control,True
