,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2
0,500,1.0,0.5,0.07586328488094216,4.595860625156759e-05,3.7392811561437794e-05,7.8378079825555815,1.3072406019607103
1,500,1.0,0.75,0.06670156660609364,4.929377271178806e-05,7.772610768109762e-05,2.175052488236587,9.968105895934823
2,500,1.0,0.9,0.06446814130832958,4.282811499280833e-05,2.8670540232311236e-05,2.02970413075152,2.5992555542519993
3,500,1.0,0.95,0.06318085105215637,4.439358687154363e-05,8.512822302159077e-05,1.8856848396492973,9.582061951664317
4,500,0.5,1.0,0.05863460797298084,4.343553924852558e-05,7.485878507359326e-05,7.329887011225306,8.82527370550961
5,500,0.75,1.0,0.060030617695633975,4.602511221208294e-05,3.407016624289531e-05,1.6101609180216,9.821006912362416
6,500,0.9,1.0,0.06125197850352195,5.069617855789295e-05,4.165701032258431e-05,4.005276212194804,8.2384218153601
7,500,0.95,1.0,0.0630253555025447,5.5734208552731886e-05,6.73789876294905e-05,4.106245383925275,9.979510927996074
8,500,1.0,1.0,0.061472974668964564,5.039094579682431e-05,3.170970287347607e-05,0.5353427338563594,9.099660370749323
9,500,1.05,1.0,0.06258897494439371,3.730642951074692e-05,4.077808963956994e-05,5.227834974643614,8.858663883569598
10,500,1.1,1.0,0.06325892553862567,4.1551960813747854e-05,2.7921759308560925e-05,3.882408666956982,2.544038377882816
11,500,1.25,1.0,0.06326171801234347,4.103530925781441e-05,5.7481924963642084e-05,3.1355829688058003,8.35721302270481
12,500,1.5,1.0,0.06281493523818261,4.20229313732859e-05,3.905220239764647e-05,4.129430639116496,9.497714567400282
13,500,1.0,1.05,0.06240924476195239,4.1242383631315885e-05,2.5047224199307095e-05,1.982649289255094,2.9028983485057323
14,500,1.0,1.1,0.06037299281609225,3.915460055134796e-05,3.356000679961751e-05,2.1684819814817367,9.209360953409336
15,500,1.0,1.25,0.05833213403737179,4.457295561466808e-05,2.850238231374275e-05,0.3225281019062254,7.894191647967283
16,500,1.0,1.5,0.05631888115932129,4.311764128429676e-05,4.1709532944517995e-05,6.0835034616629375,9.40886471793949
17,500,1.0,0.5,0.07495569586368217,4.4210807236766525e-05,5.2608856257564074e-05,7.838212281213978,8.865733154710496
18,500,1.0,0.75,0.0656927266122574,4.612520921736984e-05,4.689910791694587e-05,9.7262904402073,9.77724226664139
19,500,1.0,0.9,0.06297290735910895,4.880150618962007e-05,4.769649284558055e-05,1.7152328880476224,9.377045489918753
20,500,1.0,0.95,0.062109901660103564,4.3429494631545026e-05,6.792841111022921e-05,3.3396585805167587,9.990538911669361
21,500,0.5,1.0,0.05807819690457161,4.173613161382455e-05,5.8901012901499284e-05,0.016120387168259365,9.992344263760982
22,500,0.75,1.0,0.0611688094245629,5.224867822429238e-05,3.728515509985877e-05,0.5018944732487585,6.805904988580954
23,500,0.9,1.0,0.06079572165618379,4.1689897453313054e-05,6.422007724888611e-05,0.23847129673634626,9.989563001033122
24,500,0.95,1.0,0.06122184013956061,4.449791820907857e-05,5.94173275685384e-05,7.564261464382938,8.972982613875995
25,500,1.0,1.0,0.0623309736080155,4.282828513353977e-05,4.188581610069418e-05,3.2641445696834888,6.263080358214892
26,500,1.05,1.0,0.06195846233306448,4.387627912416349e-05,3.6189675874211526e-05,4.553480906433911,6.52866172138468
27,500,1.1,1.0,0.06175013084263586,5.005933247593528e-05,3.213217159312658e-05,4.033212670095996,8.756930001752112
28,500,1.25,1.0,0.06402839841347155,4.733998924805916e-05,2.1940442884405815e-05,6.399058462832995,4.082849636573287
29,500,1.5,1.0,0.06310149704054516,4.522311846769761e-05,3.0906523866358284e-05,9.260137809190343,5.816024527558437
30,500,1.0,1.05,0.06168576225371908,4.8956053871224474e-05,6.193640054636669e-05,7.3824041397695055,8.344787497790666
31,500,1.0,1.1,0.05968184082909356,4.7486286614536106e-05,3.607456015065238e-05,5.908795172952108,9.03294446286465
32,500,1.0,1.25,0.05813826608250937,4.886420218648035e-05,2.8810251619033017e-05,9.619206621887836,9.551853287307042
