,Unnamed: 0,perturbs,best_losses,best_params,k1,k2,theta1,theta2,num_iters,circuit,perturbation
0,0,0.5,0.0799895250455526,"{'k1': 0.0005944004315676704, 'k2': 3.373685656356237e-05, 'theta1': 6.689139585608391, 'theta2': 3.5646168850331335}",0.0005944004315676704,3.373685656356237e-05,6.689139585608391,3.5646168850331335,500,Dual Control,True
1,1,0.75,0.0735007273828693,"{'k1': 0.0003031584793346859, 'k2': 2.6367972003356906e-05, 'theta1': 7.977955446072507, 'theta2': 4.541282277104766}",0.0003031584793346859,2.6367972003356906e-05,7.977955446072507,4.541282277104766,500,Dual Control,True
2,2,0.9,0.0709798503568392,"{'k1': 0.0008006488026850433, 'k2': 2.263249110478829e-05, 'theta1': 5.088278255828953, 'theta2': 2.734192842421598}",0.0008006488026850433,2.263249110478829e-05,5.088278255828953,2.734192842421598,500,Dual Control,True
3,3,0.95,0.0704972295604652,"{'k1': 0.0008922942123002801, 'k2': 2.160079619148897e-05, 'theta1': 5.299017642073817, 'theta2': 8.911753312727338}",0.0008922942123002801,2.160079619148897e-05,5.299017642073817,8.911753312727338,500,Dual Control,True
4,4,1.0,0.0703373878651042,"{'k1': 0.0005649215892599532, 'k2': 1.8347397333481162e-05, 'theta1': 9.224819418792121, 'theta2': 8.734736897408553}",0.0005649215892599532,1.8347397333481162e-05,9.224819418792121,8.734736897408553,500,Dual Control,True
5,5,1.05,0.0695552415876288,"{'k1': 0.0007064966655901563, 'k2': 2.2749185278888106e-05, 'theta1': 3.942798208439358, 'theta2': 7.6422146855692334}",0.0007064966655901563,2.2749185278888106e-05,3.942798208439358,7.6422146855692334,500,Dual Control,True
6,6,1.1,0.0695885017347218,"{'k1': 0.0007279573523821324, 'k2': 2.4793786635879947e-05, 'theta1': 3.3818257724662995, 'theta2': 1.874876368214858}",0.0007279573523821324,2.4793786635879947e-05,3.3818257724662995,1.874876368214858,500,Dual Control,True
7,7,1.25,0.0679070919530879,"{'k1': 0.00045247730001975845, 'k2': 1.8590486240282223e-05, 'theta1': 6.347830911004589, 'theta2': 9.091382666209267}",0.00045247730001975845,1.8590486240282223e-05,6.347830911004589,9.091382666209267,500,Dual Control,True
8,8,1.5,0.0664369930573632,"{'k1': 0.0003134709900436737, 'k2': 1.6635049414941003e-05, 'theta1': 8.64634145292188, 'theta2': 5.848775691294537}",0.0003134709900436737,1.6635049414941003e-05,8.64634145292188,5.848775691294537,500,Dual Control,True
