,Unnamed: 0,num_iters,best_losses,best_params,k1,k2,theta1,theta2
0,0,100,0.0721585295927562,"{'k1': 0.00040877208633587753, 'k2': 2.935861586434056e-05, 'theta1': 4.030762528705107, 'theta2': 6.353876071061331}",0.00040877208633587753,2.935861586434056e-05,4.030762528705107,6.353876071061331
1,1,100,0.0731753794821954,"{'k1': 0.00037461957035515484, 'k2': 2.3481159433266103e-05, 'theta1': 8.079859827033536, 'theta2': 8.595340943660437}",0.00037461957035515484,2.3481159433266103e-05,8.079859827033536,8.595340943660437
2,2,100,0.0705004547286922,"{'k1': 0.0002720951472896765, 'k2': 2.4136793905431823e-05, 'theta1': 7.379629678186116, 'theta2': 9.72509697564274}",0.0002720951472896765,2.4136793905431823e-05,7.379629678186116,9.72509697564274
3,3,100,0.0724761869781269,"{'k1': 0.0004185026166337098, 'k2': 3.164467775851435e-05, 'theta1': 3.281859685091692, 'theta2': 4.091832330403794}",0.0004185026166337098,3.164467775851435e-05,3.281859685091692,4.091832330403794
4,4,100,0.0737070450595941,"{'k1': 0.0009400130953209911, 'k2': 2.8035406498951116e-05, 'theta1': 1.842703406412749, 'theta2': 4.233123006049147}",0.0009400130953209911,2.8035406498951116e-05,1.842703406412749,4.233123006049147
5,5,100,0.0722073479302742,"{'k1': 0.0003566765736527238, 'k2': 3.114847300233246e-05, 'theta1': 3.6429936052888987, 'theta2': 7.549410997314076}",0.0003566765736527238,3.114847300233246e-05,3.6429936052888987,7.549410997314076
6,6,100,0.0702792425880627,"{'k1': 0.000368373460988169, 'k2': 2.1158952981995173e-05, 'theta1': 6.953509245489525, 'theta2': 8.993369343852418}",0.000368373460988169,2.1158952981995173e-05,6.953509245489525,8.993369343852418
7,7,100,0.0705917482096964,"{'k1': 0.00013861618037676123, 'k2': 2.3517166825276167e-05, 'theta1': 9.452083900111434, 'theta2': 0.062051296143304846}",0.00013861618037676123,2.3517166825276167e-05,9.452083900111434,0.062051296143304846
8,8,100,0.0742492453454524,"{'k1': 0.0004941723325710154, 'k2': 3.682684960313359e-05, 'theta1': 2.070100619738535, 'theta2': 6.845787648353632}",0.0004941723325710154,3.682684960313359e-05,2.070100619738535,6.845787648353632
9,9,100,0.078246653059228,"{'k1': 0.0008510219168022175, 'k2': 4.4263646612703166e-05, 'theta1': 1.0439101515740048, 'theta2': 7.699269718652615}",0.0008510219168022175,4.4263646612703166e-05,1.0439101515740048,7.699269718652615
10,10,200,0.0700488526078275,"{'k1': 0.00035355373567694536, 'k2': 2.0743697725457035e-05, 'theta1': 8.52883897132915, 'theta2': 5.669793075406673}",0.00035355373567694536,2.0743697725457035e-05,8.52883897132915,5.669793075406673
11,11,200,0.0702839929944013,"{'k1': 0.0007394811749441571, 'k2': 1.8518636817278134e-05, 'theta1': 8.415267707689534, 'theta2': 0.6895475699058009}",0.0007394811749441571,1.8518636817278134e-05,8.415267707689534,0.6895475699058009
12,12,200,0.0702773142311845,"{'k1': 0.00027203982346763714, 'k2': 2.013726719194742e-05, 'theta1': 9.720060675584692, 'theta2': 5.246481859006625}",0.00027203982346763714,2.013726719194742e-05,9.720060675584692,5.246481859006625
13,13,200,0.0708657610876651,"{'k1': 0.0009938452629476627, 'k2': 2.0881930589373042e-05, 'theta1': 3.7264064819876404, 'theta2': 0.41864669242643743}",0.0009938452629476627,2.0881930589373042e-05,3.7264064819876404,0.41864669242643743
14,14,200,0.0700716085383926,"{'k1': 0.00039295828244491674, 'k2': 2.2617479726537443e-05, 'theta1': 6.254561502980851, 'theta2': 5.518709604604946}",0.00039295828244491674,2.2617479726537443e-05,6.254561502980851,5.518709604604946
15,15,200,0.0700471733798615,"{'k1': 0.000557736161461909, 'k2': 1.9863163268739118e-05, 'theta1': 6.950280180300517, 'theta2': 6.633377724372899}",0.000557736161461909,1.9863163268739118e-05,6.950280180300517,6.633377724372899
16,16,200,0.0699943747265672,"{'k1': 0.0001906245440189848, 'k2': 2.2139118132045883e-05, 'theta1': 9.992582064771906, 'theta2': 6.0004199110368255}",0.0001906245440189848,2.2139118132045883e-05,9.992582064771906,6.0004199110368255
17,17,200,0.0699720535784095,"{'k1': 0.0009371081759376637, 'k2': 2.037535338203231e-05, 'theta1': 5.584895965512366, 'theta2': 5.308786665151891}",0.0009371081759376637,2.037535338203231e-05,5.584895965512366,5.308786665151891
18,18,200,0.0708794155411159,"{'k1': 9.319847236095779e-05, 'k2': 2.6605428851905637e-05, 'theta1': 9.738295697200737, 'theta2': 5.657963122921913}",9.319847236095779e-05,2.6605428851905637e-05,9.738295697200737,5.657963122921913
