,k1,k2,n1,n2,theta1,theta2,loss
0,0.0009715319759984173,0.0009109396682364478,1.982089083631277,2.018176020631587,0.0986898708194187,0.09791429528105491,1293.1290119727782
1,0.0009613515652657715,0.0008348708242570782,2.0283598204756923,2.028316749051297,0.09516834830068524,0.10041621987415285,1083.562630766332
2,0.0009366199623284179,0.0007487175573789301,2.0388875016449677,1.9929326081497698,0.0932023691248982,0.09894453542336941,867.8622199721533
3,0.0009320056433209735,0.0006543402208912977,2.0612515451226052,1.9701496932108724,0.09381791910827483,0.09932564676683137,658.8933093073006
4,0.0009222950769974793,0.0005653477096362036,2.055916821082236,1.9289522167273856,0.09540281275536225,0.09962826378117218,488.0023571538842
5,0.0009384587490527787,0.0004853846929467699,2.0586751148981,1.9103362758393738,0.09457570763251966,0.10503389042317239,356.2364806791462
6,0.0008977810941426728,0.00040097670812030007,2.0735886041225835,1.9337935823602679,0.09569981834518843,0.10324056778334668,239.5015135005051
7,0.0008868324094417454,0.0003105600016422405,2.0805309790956916,1.9100712824931552,0.09884891105131217,0.10222901983810893,140.06272153362528
8,0.0009067130293276847,0.00024140522578562268,2.0966422264656566,1.8618431355806733,0.10329255585878631,0.10384844431996793,81.89015161077934
9,0.0009099627688479137,0.00015948889953622174,2.07393968853719,1.878981818483875,0.10076687765214147,0.09956812895021964,33.05314952857974
10,0.0008675701015997753,7.029607606619821e-05,2.069315640613242,1.8713349509212693,0.10193154174067531,0.09900243151873524,4.659078948770342
11,0.0008378617758195166,1.6609294858937562e-05,2.0209879536671824,1.8924318938077547,0.10761955220633765,0.10048281076905377,0.03308351191207302
12,0.0008378617758195166,1.6609294858937562e-05,2.0209879536671824,1.8924318938077547,0.10761955220633765,0.10048281076905377,0.03308351191207302
