,theta,k1,k2,x0,x1,e1,e2,v2
0,0.01,1e-07,1e-07,2289.9630963231575,0.09109621284668702,6.169053253397375e-06,0.0005181013103757466,5.612520136639018e-05
1,0.01,1e-07,0.00011119999999999999,2267.669232333458,0.006370801263188321,0.0003685269209767766,0.5761286956317071,0.004401677485019253
2,0.01,1e-07,0.00022229999999999998,2262.658283418082,0.0038907632995662084,0.00044998276885353946,1.1517392772309987,0.005375282497436554
3,0.01,1e-07,0.00033339999999999997,2260.744327535357,0.002773417865745313,0.0004810962235887137,1.727349825910747,0.005747201501955151
4,0.01,1e-07,0.00044449999999999996,2259.8659474108495,0.002141870234740919,0.0004953754416832872,2.3029603799980123,0.0059179032095727875
5,0.01,1e-07,0.0005556,2259.404020849639,0.0017395016259759291,0.0005028847082953488,2.878570950819333,0.006007689580745362
6,0.01,1e-07,0.0006666999999999999,2259.1351234406366,0.0014622013510953982,0.0005072560265972992,3.4541815333546038,0.006059964597157695
7,0.01,1e-07,0.0007777999999999998,2258.9661423913776,0.0012601122870104545,0.0005100030729613249,4.029792094154794,0.006092820874485807
8,0.01,1e-07,0.0008888999999999999,2258.853512904697,0.0011065627151838858,0.0005118340202950454,4.605402720149232,0.006114723693702993
9,0.01,1e-07,0.001,2258.7748913899864,0.0009860714312674424,0.0005131121460677686,5.18101326072646,0.00613001453048399
10,0.01,0.00011119999999999999,1e-07,2286.553181808831,0.9675534904759387,6.153614590877329e-05,0.0005181013652185482,0.0005484805173072031
11,0.01,0.00011119999999999999,0.00011119999999999999,1938.7058372180936,0.09981744786650723,0.0057249173712651084,0.5761286673009871,0.06832720711188443
12,0.01,0.00011119999999999999,0.00022229999999999998,1733.2376449692138,0.07901461646593505,0.009082452661055554,1.1517392782881377,0.10834896958361517
13,0.01,0.00011119999999999999,0.00033339999999999997,1561.8632942100674,0.06887834272101519,0.01189308072446406,1.727349837533015,0.1417957274591957
14,0.01,0.00011119999999999999,0.00044449999999999996,1409.7909198034092,0.06246186046949273,0.014397840115120023,2.3029604208870462,0.1715451281853596
15,0.01,0.00011119999999999999,0.0005556,1270.9071742769793,0.057882713035678705,0.016697347678406783,2.8785710054124722,0.19879273307870104
16,0.01,0.00011119999999999999,0.0006666999999999999,1141.9715641260846,0.054378287439482205,0.018846133682987685,3.4541815682974155,0.2241799218042428
17,0.01,0.00011119999999999999,0.0007777999999999998,1021.0487254447894,0.051569833254020384,0.02087827432763139,4.02979215629462,0.24809940695346622
18,0.01,0.00011119999999999999,0.0008888999999999999,906.9200399856862,0.04924376771009071,0.022817245455744265,4.605402731089666,0.27081128197515064
19,0.01,0.00011119999999999999,0.001,798.8258619679689,0.04726852962355457,0.024680573661304755,5.181013320486871,0.29249607201885774
20,0.01,0.00022229999999999998,1e-07,2285.622996461828,1.2259311703122744,7.663028034978412e-05,0.0005181013274347765,0.0006789529246666031
21,0.01,0.00022229999999999998,0.00011119999999999999,1847.7669491499212,0.1259967724383298,0.007209545951788075,0.5761286760436053,0.08602454295254454
22,0.01,0.00022229999999999998,0.00022229999999999998,1588.69783064539,0.0997841813764003,0.011452231083582615,1.1517392495227332,0.1365478977872973
23,0.01,0.00022229999999999998,0.00033339999999999997,1372.6475607701789,0.08701915404741926,0.015011550491723176,1.7273498381481007,0.17881895854152077
24,0.01,0.00022229999999999998,0.00044449999999999996,1181.1838791610785,0.07893898553279069,0.018190936736345586,2.302960420668497,0.21644344857015338
25,0.01,0.00022229999999999998,0.0005556,1006.8542312425747,0.0731693052790228,0.02111817018422004,2.878570997280426,0.25091174427929674
26,0.01,0.00022229999999999998,0.0006666999999999999,845.9562411401558,0.06874707777833082,0.023864261485148426,3.454181582089974,0.2830122414040979
27,0.01,0.00022229999999999998,0.0007777999999999998,696.6838587353466,0.06519183682393755,0.02647650635073032,4.029792160089646,0.31320959265632214
28,0.01,0.00022229999999999998,0.0008888999999999999,558.6048417530886,0.06222892496274482,0.02899257831693509,4.6054027463229374,0.3417802525400723
29,0.01,0.00022229999999999998,0.001,432.72630107224336,0.05968286514941307,0.03144963989002041,5.181013338317965,0.3688598034986449
30,0.01,0.00033339999999999997,1e-07,2284.982664056467,1.4088848647535823,8.70191485416636e-05,0.0005181013394721017,0.0007677649245239195
31,0.01,0.00033339999999999997,0.00011119999999999999,1784.2575350409934,0.14437287405898028,0.00824764762547631,0.5761286716896904,0.09839230461134527
32,0.01,0.00033339999999999997,0.00022229999999999998,1487.869055277484,0.11434783512361203,0.0131103627871735,1.1517392591651994,0.15625196173902842
33,0.01,0.00033339999999999997,0.00033339999999999997,1240.9470582188196,0.09972686852012316,0.017195284690562605,1.7273498356641468,0.20467467153369762
34,0.01,0.00033339999999999997,0.00044449999999999996,1022.6767832222688,0.09046705964729575,0.02085077968273162,2.3029604144088736,0.2477689755419162
35,0.01,0.00033339999999999997,0.0005556,825.01149960808,0.08384514513248388,0.0242262178502274,2.878570999441564,0.2872168698530717
36,0.01,0.00033339999999999997,0.0006666999999999999,644.660437348582,0.0787518235468438,0.02740971310148058,3.45418159201834,0.32387712763938964
37,0.01,0.00033339999999999997,0.0007777999999999998,481.5237154428582,0.07462424780672236,0.03047039018990859,4.02979216984559,0.3581912759368046
38,0.01,0.00033339999999999997,0.0008888999999999999,339.14532876660274,0.07112319174891832,0.03348394473035617,4.605402752132394,0.39028529801633016
39,0.01,0.00033339999999999997,0.001,225.29681451350274,0.06801014260859564,0.036552688084400035,5.181013333419884,0.4199774740055546
40,0.01,0.00044449999999999996,1e-07,2284.47986418528,1.5555179869230222,9.517567498083301e-05,0.0005181013364797724,0.0008369154360939976
41,0.01,0.00044449999999999996,0.00011119999999999999,1733.8588137928223,0.15901118115329005,0.009072280206872835,0.5761286743813214,0.10821238332282627
42,0.01,0.00044449999999999996,0.00022229999999999998,1407.9338184940016,0.12594105674860911,0.014428501726050317,1.1517392630189194,0.17189662756742402
43,0.01,0.00044449999999999996,0.00033339999999999997,1136.7779373760577,0.1098346731682061,0.018933037011703333,1.7273498367205857,0.22519407396469865
44,0.01,0.00044449999999999996,0.00044449999999999996,897.900957654906,0.09962515043342365,0.02297158057374668,2.3029604165707975,0.2726035168937805
45,0.01,0.00044449999999999996,0.0005556,683.3250423508154,0.09230612373444778,0.026714748109183388,2.878571006110984,0.31593540054469216
46,0.01,0.00044449999999999996,0.0006666999999999999,491.48753586741157,0.08664031321472303,0.030275175879427126,3.45418158334506,0.3560408996317183
47,0.01,0.00044449999999999996,0.0007777999999999998,327.090229887132,0.08197332540849715,0.033768030495411966,4.029792168321937,0.39317953430004704
48,0.01,0.00044449999999999996,0.0008888999999999999,202.02241118896896,0.07787915563950172,0.037352287863875844,4.605402755731364,0.4270718540563015
49,0.01,0.00044449999999999996,0.001,124.27489288496982,0.07410776439317403,0.04118099431180361,5.181013334016364,0.4573546256857684
50,0.01,0.0005556,1e-07,2284.0599666157063,1.6800133851684238,0.00010198672465705564,0.0005181013287817528,0.0008942631880872691
51,0.01,0.0005556,0.00011119999999999999,1691.4093862359923,0.17137958742012344,0.009767470494160699,0.5761286734044968,0.11648767229698015
52,0.01,0.0005556,0.00022229999999999998,1340.6727799360647,0.13573096176722266,0.015540566364390012,1.1517392544327714,0.18507990470414093
53,0.01,0.0005556,0.00033339999999999997,1049.3515836781507,0.11836368574970686,0.02040086160157701,1.7273498356846317,0.2424765499410507
54,0.01,0.0005556,0.00044449999999999996,793.8235446993781,0.1073414187953025,0.02476761981167571,2.3029604291716534,0.29349324969317786
55,0.01,0.0005556,0.0005556,566.9908427370023,0.09941046242701872,0.028835693441808176,2.8785710111321965,0.34001201524813895
56,0.01,0.0005556,0.0006666999999999999,371.1567966791527,0.09320412985170815,0.03275804131414104,3.4541815874829886,0.38276525678377293
57,0.01,0.0005556,0.0007777999999999998,219.7701095374569,0.08795302799919548,0.036734385995426035,4.029792171203528,0.4216107145000449
58,0.01,0.0005556,0.0008888999999999999,127.00908875602036,0.08319697987622211,0.04099272875241672,4.605402756739705,0.4559929965534498
59,0.01,0.0005556,0.001,80.14534902882744,0.07883358583876711,0.045582097351706735,5.181013329800578,0.4862918181014575
60,0.01,0.0006666999999999999,1e-07,2283.696383399203,1.789333141793326,0.00010788395035564997,0.0005181013406761434,0.0009436217182391296
61,0.01,0.0006666999999999999,0.00011119999999999999,1654.3865256730908,0.18219643360163212,0.010374293500704868,0.5761286764413126,0.12370838550727875
62,0.01,0.0006666999999999999,0.00022229999999999998,1282.0700402529808,0.14428840109728866,0.016512005477202496,1.151739253480391,0.19658267840377425
63,0.01,0.0006666999999999999,0.00033339999999999997,973.4039095362128,0.12581302244876993,0.02168481808671799,1.727349835696513,0.2575474421740506
64,0.01,0.0006666999999999999,0.00044449999999999996,704.1356343311717,0.11406857198723427,0.026343995384303272,2.302960423707521,0.31167920803267946
