,theta,k1,k2,x0,x1,e1,e2,v2
933,100.0,0.00033339999999999997,0.00033339999999999997,0.49283849020413883,26.260625509297927,1.727349833538067,0.11144366690988407,0.9685151409270548
934,100.0,0.00033339999999999997,0.00044449999999999996,0.4928384942151731,23.014668820986987,1.7273498201249224,0.115853246884334,0.9691416103561977
935,100.0,0.00033339999999999997,0.0005556,0.49283849874121277,20.82023280536421,1.7273498197020971,0.1196041029086258,0.9695651357705184
936,100.0,0.00033339999999999997,0.0006666999999999999,0.4928384941538481,19.20708121702661,1.7273498203031903,0.1229028530725891,0.969876474774904
937,100.0,0.00033339999999999997,0.0007777999999999998,0.49283848119428436,17.955299966787262,1.7273498640278686,0.12586785739338943,0.9701180692148389
938,100.0,0.00033339999999999997,0.0008888999999999999,0.4928384733299665,16.946406764349682,1.7273498915341574,0.1285741739823421,0.9703127860050114
939,100.0,0.00033339999999999997,0.001,0.4928384830014417,16.11013669289385,1.727349858551129,0.13107282559074496,0.9704741856363078
940,100.0,0.00044449999999999996,1e-07,0.4928384830014417,16.11013669289385,1.727349858551129,0.13107282559074496,0.9704741856363078
941,100.0,0.00044449999999999996,0.00011119999999999999,0.4928384830014417,16.11013669289385,1.727349858551129,0.13107282559074496,0.9704741856363078
942,100.0,0.00044449999999999996,0.00022229999999999998,0.3676750913922504,31.931401760444626,2.30296044718392,0.10657397482335786,0.9738924808859712
943,100.0,0.00044449999999999996,0.00033339999999999997,0.3676750900705515,26.342044418855735,2.302960455307736,0.11209091909146227,0.9749712269216247
944,100.0,0.00044449999999999996,0.00044449999999999996,0.3676750900705515,26.342044418855735,2.302960455307736,0.11209091909146227,0.9749712269216247
945,100.0,0.00044449999999999996,0.0005556,0.3676750900705515,26.342044418855735,2.302960455307736,0.11209091909146227,0.9749712269216247
946,100.0,0.00044449999999999996,0.0006666999999999999,0.3676750900705515,26.342044418855735,2.302960455307736,0.11209091909146227,0.9749712269216247
947,100.0,0.00044449999999999996,0.0007777999999999998,0.3676750900705515,26.342044418855735,2.302960455307736,0.11209091909146227,0.9749712269216247
