,theta,k1,k2,x0,x1,e1,e2,j1,j2,v2
19,1,0.00011119999999999999,0.001,"tensor(2289.2785, dtype=torch.float64)","tensor(1.0702, dtype=torch.float64)","tensor(0.2686, dtype=torch.float64)","tensor(2.7659, dtype=torch.float64)","tensor(197155.7269, dtype=torch.float64)","tensor(29.2834, dtype=torch.float64)","tensor(3.2085, dtype=torch.float64)"
20,1,0.00022229999999999998,1e-07,"tensor(2255.8755, dtype=torch.float64)","tensor(34.5987, dtype=torch.float64)","tensor(0.0010, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49550.7356, dtype=torch.float64)","tensor(0.0195, dtype=torch.float64)","tensor(0.0048, dtype=torch.float64)"
21,1,0.00022229999999999998,0.00011119999999999999,"tensor(2287.4052, dtype=torch.float64)","tensor(2.9538, dtype=torch.float64)","tensor(0.1184, dtype=torch.float64)","tensor(0.5169, dtype=torch.float64)","tensor(7680.1411, dtype=torch.float64)","tensor(6.1312, dtype=torch.float64)","tensor(1.4144, dtype=torch.float64)"
22,1,0.00022229999999999998,0.00022229999999999998,"tensor(2288.0503, dtype=torch.float64)","tensor(2.3052, dtype=torch.float64)","tensor(0.1824, dtype=torch.float64)","tensor(0.9693, dtype=torch.float64)","tensor(55187.1729, dtype=torch.float64)","tensor(11.1148, dtype=torch.float64)","tensor(2.1790, dtype=torch.float64)"
23,1,0.00022229999999999998,0.00033339999999999997,"tensor(2288.3569, dtype=torch.float64)","tensor(1.9969, dtype=torch.float64)","tensor(0.2309, dtype=torch.float64)","tensor(1.3810, dtype=torch.float64)","tensor(124084.4713, dtype=torch.float64)","tensor(15.5559, dtype=torch.float64)","tensor(2.7585, dtype=torch.float64)"
24,1,0.00022229999999999998,0.00044449999999999996,"tensor(2288.5481, dtype=torch.float64)","tensor(1.8047, dtype=torch.float64)","tensor(0.2706, dtype=torch.float64)","tensor(1.7619, dtype=torch.float64)","tensor(201490.1542, dtype=torch.float64)","tensor(19.6145, dtype=torch.float64)","tensor(3.2323, dtype=torch.float64)"
25,1,0.00022229999999999998,0.0005556,"tensor(2288.6831, dtype=torch.float64)","tensor(1.6689, dtype=torch.float64)","tensor(0.3043, dtype=torch.float64)","tensor(2.1181, dtype=torch.float64)","tensor(282209.5560, dtype=torch.float64)","tensor(23.3767, dtype=torch.float64)","tensor(3.6351, dtype=torch.float64)"
26,1,0.00022229999999999998,0.0006666999999999999,"tensor(2288.7856, dtype=torch.float64)","tensor(1.5659, dtype=torch.float64)","tensor(0.3337, dtype=torch.float64)","tensor(2.4535, dtype=torch.float64)","tensor(363714.2843, dtype=torch.float64)","tensor(26.8973, dtype=torch.float64)","tensor(3.9861, dtype=torch.float64)"
27,1,0.00022229999999999998,0.0007777999999999998,"tensor(2288.8670, dtype=torch.float64)","tensor(1.4839, dtype=torch.float64)","tensor(0.3597, dtype=torch.float64)","tensor(2.7713, dtype=torch.float64)","tensor(444659.7919, dtype=torch.float64)","tensor(30.2151, dtype=torch.float64)","tensor(4.2972, dtype=torch.float64)"
28,1,0.00022229999999999998,0.0008888999999999999,"tensor(2288.9340, dtype=torch.float64)","tensor(1.4166, dtype=torch.float64)","tensor(0.3831, dtype=torch.float64)","tensor(3.0737, dtype=torch.float64)","tensor(524301.3054, dtype=torch.float64)","tensor(33.3587, dtype=torch.float64)","tensor(4.5765, dtype=torch.float64)"
29,1,0.00022229999999999998,0.001,"tensor(2288.9905, dtype=torch.float64)","tensor(1.3598, dtype=torch.float64)","tensor(0.4043, dtype=torch.float64)","tensor(3.3625, dtype=torch.float64)","tensor(602223.8980, dtype=torch.float64)","tensor(36.3503, dtype=torch.float64)","tensor(4.8298, dtype=torch.float64)"
30,1,0.00033339999999999997,1e-07,"tensor(2250.2389, dtype=torch.float64)","tensor(40.2550, dtype=torch.float64)","tensor(0.0011, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49537.2449, dtype=torch.float64)","tensor(0.0218, dtype=torch.float64)","tensor(0.0050, dtype=torch.float64)"
31,1,0.00033339999999999997,0.00011119999999999999,"tensor(2286.9403, dtype=torch.float64)","tensor(3.4213, dtype=torch.float64)","tensor(0.1360, dtype=torch.float64)","tensor(0.5308, dtype=torch.float64)","tensor(15765.7128, dtype=torch.float64)","tensor(6.4345, dtype=torch.float64)","tensor(1.6237, dtype=torch.float64)"
32,1,0.00033339999999999997,0.00022229999999999998,"tensor(2287.6935, dtype=torch.float64)","tensor(2.6640, dtype=torch.float64)","tensor(0.2133, dtype=torch.float64)","tensor(1.0095, dtype=torch.float64)","tensor(95807.4661, dtype=torch.float64)","tensor(11.8009, dtype=torch.float64)","tensor(2.5483, dtype=torch.float64)"
33,1,0.00033339999999999997,0.00033339999999999997,"tensor(2288.0503, dtype=torch.float64)","tensor(2.3052, dtype=torch.float64)","tensor(0.2736, dtype=torch.float64)","tensor(1.4538, dtype=torch.float64)","tensor(208109.0409, dtype=torch.float64)","tensor(16.6697, dtype=torch.float64)","tensor(3.2681, dtype=torch.float64)"
34,1,0.00033339999999999997,0.00044449999999999996,"tensor(2288.2725, dtype=torch.float64)","tensor(2.0817, dtype=torch.float64)","tensor(0.3239, dtype=torch.float64)","tensor(1.8712, dtype=torch.float64)","tensor(335355.0033, dtype=torch.float64)","tensor(21.1830, dtype=torch.float64)","tensor(3.8690, dtype=torch.float64)"
35,1,0.00033339999999999997,0.0005556,"tensor(2288.4293, dtype=torch.float64)","tensor(1.9241, dtype=torch.float64)","tensor(0.3673, dtype=torch.float64)","tensor(2.2664, dtype=torch.float64)","tensor(469988.6561, dtype=torch.float64)","tensor(25.4167, dtype=torch.float64)","tensor(4.3886, dtype=torch.float64)"
36,1,0.00033339999999999997,0.0006666999999999999,"tensor(2288.5481, dtype=torch.float64)","tensor(1.8046, dtype=torch.float64)","tensor(0.4058, dtype=torch.float64)","tensor(2.6427, dtype=torch.float64)","tensor(608029.6111, dtype=torch.float64)","tensor(29.4193, dtype=torch.float64)","tensor(4.8480, dtype=torch.float64)"
37,1,0.00033339999999999997,0.0007777999999999998,"tensor(2288.6426, dtype=torch.float64)","tensor(1.7096, dtype=torch.float64)","tensor(0.4403, dtype=torch.float64)","tensor(3.0025, dtype=torch.float64)","tensor(747171.8435, dtype=torch.float64)","tensor(33.2250, dtype=torch.float64)","tensor(5.2606, dtype=torch.float64)"
38,1,0.00033339999999999997,0.0008888999999999999,"tensor(2288.7202, dtype=torch.float64)","tensor(1.6316, dtype=torch.float64)","tensor(0.4717, dtype=torch.float64)","tensor(3.3478, dtype=torch.float64)","tensor(886004.1774, dtype=torch.float64)","tensor(36.8597, dtype=torch.float64)","tensor(5.6353, dtype=torch.float64)"
39,1,0.00033339999999999997,0.001,"tensor(2288.7856, dtype=torch.float64)","tensor(1.5658, dtype=torch.float64)","tensor(0.5004, dtype=torch.float64)","tensor(3.6801, dtype=torch.float64)","tensor(1023635.5607, dtype=torch.float64)","tensor(40.3432, dtype=torch.float64)","tensor(5.9786, dtype=torch.float64)"
40,1,0.00044449999999999996,1e-07,"tensor(2245.7100, dtype=torch.float64)","tensor(44.7974, dtype=torch.float64)","tensor(0.0011, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49528.5520, dtype=torch.float64)","tensor(0.0237, dtype=torch.float64)","tensor(0.0051, dtype=torch.float64)"
41,1,0.00044449999999999996,0.00011119999999999999,"tensor(2286.5630, dtype=torch.float64)","tensor(3.8007, dtype=torch.float64)","tensor(0.1491, dtype=torch.float64)","tensor(0.5388, dtype=torch.float64)","tensor(24261.6682, dtype=torch.float64)","tensor(6.6391, dtype=torch.float64)","tensor(1.7807, dtype=torch.float64)"
42,1,0.00044449999999999996,0.00022229999999999998,"tensor(2287.4048, dtype=torch.float64)","tensor(2.9543, dtype=torch.float64)","tensor(0.2367, dtype=torch.float64)","tensor(1.0333, dtype=torch.float64)","tensor(134224.8723, dtype=torch.float64)","tensor(12.2570, dtype=torch.float64)","tensor(2.8279, dtype=torch.float64)"
43,1,0.00044449999999999996,0.00033339999999999997,"tensor(2287.8027, dtype=torch.float64)","tensor(2.5542, dtype=torch.float64)","tensor(0.3061, dtype=torch.float64)","tensor(1.4978, dtype=torch.float64)","tensor(286900.2677, dtype=torch.float64)","tensor(17.4080, dtype=torch.float64)","tensor(3.6567, dtype=torch.float64)"
44,1,0.00044449999999999996,0.00044449999999999996,"tensor(2288.0503, dtype=torch.float64)","tensor(2.3052, dtype=torch.float64)","tensor(0.3647, dtype=torch.float64)","tensor(1.9382, dtype=torch.float64)","tensor(461222.3769, dtype=torch.float64)","tensor(22.2246, dtype=torch.float64)","tensor(4.3573, dtype=torch.float64)"
45,1,0.00044449999999999996,0.0005556,"tensor(2288.2247, dtype=torch.float64)","tensor(2.1298, dtype=torch.float64)","tensor(0.4160, dtype=torch.float64)","tensor(2.3586, dtype=torch.float64)","tensor(647559.7053, dtype=torch.float64)","tensor(26.7760, dtype=torch.float64)","tensor(4.9697, dtype=torch.float64)"
46,1,0.00044449999999999996,0.0006666999999999999,"tensor(2288.3569, dtype=torch.float64)","tensor(1.9969, dtype=torch.float64)","tensor(0.4617, dtype=torch.float64)","tensor(2.7616, dtype=torch.float64)","tensor(840604.0077, dtype=torch.float64)","tensor(31.1068, dtype=torch.float64)","tensor(5.5162, dtype=torch.float64)"
47,1,0.00044449999999999996,0.0007777999999999998,"tensor(2288.4619, dtype=torch.float64)","tensor(1.8913, dtype=torch.float64)","tensor(0.5031, dtype=torch.float64)","tensor(3.1494, dtype=torch.float64)","tensor(1037132.3465, dtype=torch.float64)","tensor(35.2483, dtype=torch.float64)","tensor(6.0110, dtype=torch.float64)"
48,1,0.00044449999999999996,0.0008888999999999999,"tensor(2288.5481, dtype=torch.float64)","tensor(1.8046, dtype=torch.float64)","tensor(0.5410, dtype=torch.float64)","tensor(3.5235, dtype=torch.float64)","tensor(1235069.8958, dtype=torch.float64)","tensor(39.2240, dtype=torch.float64)","tensor(6.4637, dtype=torch.float64)"
49,1,0.00044449999999999996,0.001,"tensor(2288.6208, dtype=torch.float64)","tensor(1.7316, dtype=torch.float64)","tensor(0.5760, dtype=torch.float64)","tensor(3.8852, dtype=torch.float64)","tensor(1433029.6607, dtype=torch.float64)","tensor(43.0523, dtype=torch.float64)","tensor(6.8814, dtype=torch.float64)"
50,1,0.0005556,1e-07,"tensor(2241.8617, dtype=torch.float64)","tensor(48.6543, dtype=torch.float64)","tensor(0.0012, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49522.2913, dtype=torch.float64)","tensor(0.0254, dtype=torch.float64)","tensor(0.0052, dtype=torch.float64)"
51,1,0.0005556,0.00011119999999999999,"tensor(2286.2395, dtype=torch.float64)","tensor(4.1260, dtype=torch.float64)","tensor(0.1597, dtype=torch.float64)","tensor(0.5442, dtype=torch.float64)","tensor(32627.3719, dtype=torch.float64)","tensor(6.7930, dtype=torch.float64)","tensor(1.9073, dtype=torch.float64)"
52,1,0.0005556,0.00022229999999999998,"tensor(2287.1579, dtype=torch.float64)","tensor(3.2026, dtype=torch.float64)","tensor(0.2557, dtype=torch.float64)","tensor(1.0494, dtype=torch.float64)","tensor(170238.6933, dtype=torch.float64)","tensor(12.5954, dtype=torch.float64)","tensor(3.0547, dtype=torch.float64)"
53,1,0.0005556,0.00033339999999999997,"tensor(2287.5913, dtype=torch.float64)","tensor(2.7668, dtype=torch.float64)","tensor(0.3326, dtype=torch.float64)","tensor(1.5278, dtype=torch.float64)","tensor(360509.2544, dtype=torch.float64)","tensor(17.9534, dtype=torch.float64)","tensor(3.9731, dtype=torch.float64)"
54,1,0.0005556,0.00044449999999999996,"tensor(2287.8606, dtype=torch.float64)","tensor(2.4960, dtype=torch.float64)","tensor(0.3981, dtype=torch.float64)","tensor(1.9844, dtype=torch.float64)","tensor(579098.2197, dtype=torch.float64)","tensor(22.9929, dtype=torch.float64)","tensor(4.7565, dtype=torch.float64)"
