,circuit,loss,k1,k2,theta1,theta2,Circuit
0,"((0, 0, 1), (0, 0, 1))",354860610.25882524,4.924352085156429,1.7968611250102104,0.689347984129178,7.768193609535097,No Control
1,"((0, 0, 1), (0, 0, 1))",6561838.769415968,0.6696157157071416,3.516249021657926,5.563842273508755,7.5869655389804525,No Control
2,"((0, 0, 1), (0, 0, 1))",67036302.37315997,2.1403166608750075,4.011146423284041,3.170480522507743,8.635189278655231,No Control
3,"((0, 0, 1), (0, 0, 1))",194933053.00231332,3.649773122086834,0.5420312138669273,2.688173126147714,9.786613366894773,No Control
4,"((0, 0, 1), (0, 0, 1))",92099177.76470143,2.5086998583867377,1.2776505409331793,3.117918675589077,6.620393736209126,No Control
5,"((0, 0, 1), (0, 0, 1))",150795268.4420555,3.2100909015731034,2.936958807036524,2.8936805790487647,4.589963190151623,No Control
6,"((0, 0, 1), (0, 0, 1))",237998846.92200035,4.0328030170542055,3.038656528913867,7.821144672428009,2.949023047838771,No Control
7,"((0, 0, 1), (0, 0, 1))",243683349.7540067,4.0806431000472685,0.6946908347422059,3.0374453357446427,3.087969160763952,No Control
8,"((0, 0, 1), (0, 0, 1))",4677053.471667604,0.5653410610512787,2.2700201236326265,2.5234838265738686,9.450117854931449,No Control
9,"((0, 0, 1), (0, 0, 1))",148941862.8913355,3.1903181866230277,4.934663427721182,6.138499747512823,0.1395463307256693,No Control
10,"((0, 0, 1), (0, 0, 1))",135909460.99069235,3.047493199119681,2.343966503277325,3.372426865930522,1.8890983244334207,No Control
11,"((0, 0, 1), (0, 0, 1))",22623238.494857043,1.243383724276127,2.6586938506461015,5.097981632349925,5.170558566513289,No Control
12,"((0, 0, 1), (0, 0, 1))",157232858.4775804,3.2779199309022595,0.42504220518723324,2.838080370431182,9.578529898940237,No Control
13,"((0, 0, 1), (0, 0, 1))",281991936.9405543,4.389779680454498,3.880770671558223,0.5530958289490662,8.448564120510966,No Control
14,"((0, 0, 1), (0, 0, 1))",78613190.22307189,2.317743967146496,4.636442644155527,3.3158822931091723,4.483957097334595,No Control
15,"((0, 0, 1), (0, 0, 1))",87592805.95074327,2.4465423364254724,4.366310919872687,5.000961074218361,3.705316720060552,No Control
16,"((0, 0, 1), (0, 0, 1))",153841634.7690454,3.2423436230993916,4.220361690080997,5.9816697895053705,6.531926749966439,No Control
17,"((0, 0, 1), (0, 0, 1))",3819034.4041621466,0.5107953502501335,3.9586430154171723,6.3356512932462525,9.896388452727352,No Control
18,"((0, 0, 1), (0, 0, 1))",265148440.18651053,4.2566270743701695,2.2094108396249177,7.685464844264325,7.888223140286694,No Control
19,"((0, 0, 1), (0, 0, 1))",248176216.74840355,4.1181340643212385,1.9623057577641474,4.0035669019569315,2.5912277248127045,No Control
20,"((0, 0, 1), (0, 0, 1))",31689.844652709904,0.04534019604795836,3.4182033479178435,9.139195163357464,9.994391517307742,No Control
21,"((0, 0, 1), (0, 0, 1))",812049.0815530953,0.23538826189511242,3.4615207338681095,9.60355536607068,6.360674170448281,No Control
22,"((0, 0, 1), (0, 0, 1))",57054.5185971387,0.06157074935813281,3.435083201639726,9.953868279953962,6.803697856626851,No Control
23,"((0, 0, 1), (0, 0, 1))",24834575.460639734,1.302735713889462,3.5121042145549177,9.966669346542483,5.744110788527202,No Control
24,"((0, 0, 1), (0, 0, 1))",23876409.439322967,1.277361555351096,3.0300777458949986,8.922713128603373,1.2356636921799211,No Control
25,"((0, 0, 1), (0, 0, 1))",6773.640996591656,0.020517056636627354,1.3202709051870554,8.886598008557398,8.721919368489852,No Control
26,"((0, 0, 1), (0, 0, 1))",39432847.56566687,1.6415810052371844,1.086676652436111,8.213947155320955,9.068654567443168,No Control
27,"((0, 0, 1), (0, 0, 1))",11875744.53169183,0.9008921343889655,1.3359603566865776,6.964857605346495,8.67990036007255,No Control
28,"((0, 0, 1), (0, 0, 1))",107028.45495128956,0.23296112458990503,0.003046011454169939,8.941655406512998,8.10197606269001,No Control
