,k1,k2,theta1,theta2,loss
0,0.00036009254046936724,0.0006969921219740753,8.925275741952813,4.838790985789388,0.5614566033185869
1,0.0002952440079893251,0.00092662813063995,8.41108597619805,2.735991889001268,0.6384438393671454
2,0.0004975227617358801,0.0006793826030192484,5.658616817185969,3.258856263977507,0.6322766434857489
3,0.00032753187734396494,5.216492453428104e-05,1.5588330546193387,9.587602736480342,0.20209528537279958
4,3.403533790935801e-05,6.608452508994148e-06,2.3238067115172965,4.851699613646437,0.2246293992128601
5,1e-07,1e-07,0.690155105701052,6.713346113891012,0.49706522180786533
6,0.000467977023414084,0.00013399595944562387,2.1952378969769355,10.0,0.32000775859240455
7,0.00022401256693589062,1e-07,0.9354031838549999,9.650250886143656,0.6065115414209008
8,0.0004908067355314064,0.0001426279852684666,4.645145784443192,2.998435323492866,0.3366341163517407
9,0.0001094552252131514,0.0003550540589636117,1.182664670488289,0.9581187876672188,0.24573565042860046
10,0.0001504556590394225,0.00041111441925005575,4.809376200465145,2.4020971170035583,0.29658548237807814
11,0.0005680624136362341,0.0003652745132939557,4.795883055344964,2.3948412015452742,0.5038917975456406
12,0.0003984252402337066,0.0002997148292550521,5.197162160645761,6.165378135609168,0.37992800322865716
13,0.0008461733169455798,0.0008888233735472846,4.199304498836473,4.184032942048098,0.9344406139051868
14,0.0009969952853440807,0.0007575228780672371,1.6582887794168282,6.693032825431001,0.9408746959965694
15,0.00034046075122145413,5.923978409479822e-05,1.6254783624182367,9.60643147283956,0.21239762251183716
16,0.00036355026790715184,7.222154424164269e-05,1.7397936903653008,9.65125310792531,0.23128521418977088
17,0.00034986880641885414,6.003355145746833e-05,1.7523080118108658,9.441438815862716,0.21758051398080594
18,0.001,0.001,1.777018362992668,9.542621025017663,1.074324903638172
19,0.0007313916019439573,0.0006982889766370542,1.6169251240139733,9.604442074292738,0.7727363783049226
20,0.0003569170559987451,0.00031718948729961,1.7163931701857715,9.813135698039536,0.36842242041767814
21,0.0009980112507685455,4.1935093058460356e-05,1.803166395648914,9.615507059054053,0.5332440931938924
22,0.0009128090987671144,0.0005727943292603456,1.710113448654891,9.678858823181837,0.7957129697944371
23,0.0008184623529952488,0.0009581316006744217,2.397747282195925,4.948078690634554,0.9537455116239371
24,0.00026295979503591644,3.715449955012711e-05,4.76773463664217,2.4731931931587665,0.16249241457833438
25,0.000762519145582492,0.0002935657484214276,4.770485209306964,2.505209873234575,0.5618210098392926
26,0.0007007736483730357,0.00018261533922834638,4.835335864157328,2.5946739168355206,0.46636202484218037
